             
x              y              v              
0              0  0.0000000e+00              
0.002              0  0.0000000e+00              
0.004              0  0.0000000e+00              
0.006              0  0.0000000e+00              
0.008              0  0.0000000e+00              
0.01              0  0.0000000e+00              
0.012              0  0.0000000e+00              
0.014              0  0.0000000e+00              
0.016              0  0.0000000e+00              
0.018              0  0.0000000e+00              
0.02              0  0.0000000e+00              
0.022              0  0.0000000e+00              
0.024              0  0.0000000e+00              
0.026              0  0.0000000e+00              
0.028              0  0.0000000e+00              
0.03              0  0.0000000e+00              
0.032              0  0.0000000e+00              
0.034              0  0.0000000e+00              
0.036              0  0.0000000e+00              
0.038              0  0.0000000e+00              
0.04              0  0.0000000e+00              
0.042              0  0.0000000e+00              
0.044              0  0.0000000e+00              
0.046              0  0.0000000e+00              
0.048              0  0.0000000e+00              
0.05              0  0.0000000e+00              
0.052              0  0.0000000e+00              
0.054              0  0.0000000e+00              
0.056              0  0.0000000e+00              
0.058              0  0.0000000e+00              
0.06              0  0.0000000e+00              
0.062              0  0.0000000e+00              
0.064              0  0.0000000e+00              
0.066              0  0.0000000e+00              
0.068              0  0.0000000e+00              
0.07              0  0.0000000e+00              
0.072              0  0.0000000e+00              
0.074              0  0.0000000e+00              
0.076              0  0.0000000e+00              
0.078              0  0.0000000e+00              
0.08              0  0.0000000e+00              
0.082              0  0.0000000e+00              
0.084              0  0.0000000e+00              
0.086              0  0.0000000e+00              
0.088              0  0.0000000e+00              
0.09              0  0.0000000e+00              
0.092              0  0.0000000e+00              
0.094              0  0.0000000e+00              
0.096              0  0.0000000e+00              
0.098              0  0.0000000e+00              
0.1              0  0.0000000e+00              
0.101              0  0.0000000e+00              
0.102              0  0.0000000e+00              
0          0.001  0.0000000e+00              
0.002          0.001  0.0000000e+00              
0.004          0.001  0.0000000e+00              
0.006          0.001  0.0000000e+00              
0.008          0.001  0.0000000e+00              
0.01          0.001  0.0000000e+00              
0.012          0.001  0.0000000e+00              
0.014          0.001  0.0000000e+00              
0.016          0.001  0.0000000e+00              
0.018          0.001  0.0000000e+00              
0.02          0.001  0.0000000e+00              
0.022          0.001  0.0000000e+00              
0.024          0.001  0.0000000e+00              
0.026          0.001  0.0000000e+00              
0.028          0.001  0.0000000e+00              
0.03          0.001  0.0000000e+00              
0.032          0.001  0.0000000e+00              
0.034          0.001  0.0000000e+00              
0.036          0.001  0.0000000e+00              
0.038          0.001  0.0000000e+00              
0.04          0.001  0.0000000e+00              
0.042          0.001  0.0000000e+00              
0.044          0.001  0.0000000e+00              
0.046          0.001  0.0000000e+00              
0.048          0.001  0.0000000e+00              
0.05          0.001  0.0000000e+00              
0.052          0.001  0.0000000e+00              
0.054          0.001  0.0000000e+00              
0.056          0.001  0.0000000e+00              
0.058          0.001  0.0000000e+00              
0.06          0.001  0.0000000e+00              
0.062          0.001  0.0000000e+00              
0.064          0.001  0.0000000e+00              
0.066          0.001  0.0000000e+00              
0.068          0.001  0.0000000e+00              
0.07          0.001  0.0000000e+00              
0.072          0.001  0.0000000e+00              
0.074          0.001  0.0000000e+00              
0.076          0.001  0.0000000e+00              
0.078          0.001  0.0000000e+00              
0.08          0.001  0.0000000e+00              
0.082          0.001  0.0000000e+00              
0.084          0.001  0.0000000e+00              
0.086          0.001  0.0000000e+00              
0.088          0.001  0.0000000e+00              
0.09          0.001  0.0000000e+00              
0.092          0.001  0.0000000e+00              
0.094          0.001  0.0000000e+00              
0.096          0.001  0.0000000e+00              
0.098          0.001  0.0000000e+00              
0.1          0.001  0.0000000e+00              
0.101          0.001  0.0000000e+00              
0.102          0.001  0.0000000e+00              
0          0.002  0.0000000e+00              
0.002          0.002  0.0000000e+00              
0.004          0.002  0.0000000e+00              
0.006          0.002  0.0000000e+00              
0.008          0.002  0.0000000e+00              
0.01          0.002  0.0000000e+00              
0.012          0.002  0.0000000e+00              
0.014          0.002  0.0000000e+00              
0.016          0.002  0.0000000e+00              
0.018          0.002  0.0000000e+00              
0.02          0.002  0.0000000e+00              
0.022          0.002  0.0000000e+00              
0.024          0.002  0.0000000e+00              
0.026          0.002  0.0000000e+00              
0.028          0.002  0.0000000e+00              
0.03          0.002  0.0000000e+00              
0.032          0.002  0.0000000e+00              
0.034          0.002  0.0000000e+00              
0.036          0.002  0.0000000e+00              
0.038          0.002  0.0000000e+00              
0.04          0.002  0.0000000e+00              
0.042          0.002  0.0000000e+00              
0.044          0.002  0.0000000e+00              
0.046          0.002  0.0000000e+00              
0.048          0.002  0.0000000e+00              
0.05          0.002  0.0000000e+00              
0.052          0.002  0.0000000e+00              
0.054          0.002  0.0000000e+00              
0.056          0.002  0.0000000e+00              
0.058          0.002  0.0000000e+00              
0.06          0.002  0.0000000e+00              
0.062          0.002  0.0000000e+00              
0.064          0.002  0.0000000e+00              
0.066          0.002  0.0000000e+00              
0.068          0.002  0.0000000e+00              
0.07          0.002  0.0000000e+00              
0.072          0.002  0.0000000e+00              
0.074          0.002  0.0000000e+00              
0.076          0.002  0.0000000e+00              
0.078          0.002  0.0000000e+00              
0.08          0.002  0.0000000e+00              
0.082          0.002  0.0000000e+00              
0.084          0.002  0.0000000e+00              
0.086          0.002  0.0000000e+00              
0.088          0.002  0.0000000e+00              
0.09          0.002  0.0000000e+00              
0.092          0.002  0.0000000e+00              
0.094          0.002  0.0000000e+00              
0.096          0.002  0.0000000e+00              
0.098          0.002  0.0000000e+00              
0.1          0.002  0.0000000e+00              
0.101          0.002  0.0000000e+00              
0.102          0.002  0.0000000e+00              
0    0.003249659  0.0000000e+00              
0.002    0.003249659  5.6164441e-04              
0.004    0.003249659  5.6164441e-04              
0.006    0.003249659  5.6164441e-04              
0.008    0.003249659  5.6164441e-04              
0.01    0.003249659  5.6164441e-04              
0.012    0.003249659  5.6164441e-04              
0.014    0.003249659  5.6164441e-04              
0.016    0.003249659  5.6164441e-04              
0.018    0.003249659  5.6164441e-04              
0.02    0.003249659  5.6164441e-04              
0.022    0.003249659  5.6164441e-04              
0.024    0.003249659  5.6164441e-04              
0.026    0.003249659  5.6164441e-04              
0.028    0.003249659  5.6164441e-04              
0.03    0.003249659  5.6164441e-04              
0.032    0.003249659  5.6164441e-04              
0.034    0.003249659  5.6164441e-04              
